category,lat,lon
cafe,53.9176384,27.5867275
cafe,53.9248384,27.5985273
cafe,53.9187161,27.6031502
cafe,53.9198430,27.6036750
cafe,53.9282481,27.6110909
post_office,53.9402558,27.6054736
post_office,53.9353992,27.6138210
post_office,53.9243530,27.6119579
cafe,53.9026400,27.6165200
restaurant,53.9254826,27.6130446
bank,53.9283369,27.5883910
post_office,53.9241536,27.5910712
restaurant,53.9297470,27.5985008
cafe,53.9283298,27.6002850
restaurant,53.9271200,27.5867600
fap,53.9334506,27.5894239
fap,53.9249800,27.6015800
restaurant,53.9258857,27.6066142
fap,53.9159576,27.5974888
post_office,53.8370302,27.6219514
post_office,53.9527930,27.6179130
restaurant,53.8759453,27.6275429
post_office,53.8697103,27.6270228
post_office,53.8764938,27.6182829
post_office,53.8819085,27.6122735
cafe,53.8776143,27.6174827
cafe,53.8895562,27.6187539
post_office,53.9024653,27.6173104
restaurant,53.8898963,27.6136837
bank,53.9312272,27.6363823
post_office,53.9214902,27.6360851
restaurant,53.9473869,27.6451270
post_office,53.9469968,27.6296793
post_office,53.8847453,27.6837864
shop_grocery,53.8375975,27.6604058
post_office,53.8801207,27.6681654
post_office,53.8645813,27.6674599
bank,53.8658640,27.6555959
cafe,53.8659400,27.6529300
post_office,53.8386935,27.6469935
post_office,53.9483915,27.6717009
restaurant,53.9343616,27.6481888
cafe,53.8894373,27.6501352
post_office,53.8990699,27.6495208
post_office,53.9525985,27.6334798
post_office,53.8425093,27.7010329
cafe,53.9349647,27.6887677
cafe,53.9121200,27.6730600
post_office,53.9386999,27.6843542
post_office,53.9125816,27.6786636
cafe,53.9227154,27.6713958
bank,52.1013908,23.7621264
bank,52.1035800,23.7518247
shop_grocery,52.1110300,23.7466500
shop_grocery,52.1024661,23.7532583
shop_grocery,52.1008492,23.7569180
shop_grocery,52.1004382,23.7570937
shop_grocery,52.0923818,23.7645304
pool,52.1016900,23.7557500
post_office,52.1044670,23.7535463
bank,52.0785181,23.7438580
shop_grocery,52.0784300,23.7440100
post_office,52.0789781,23.7490568
post_office,52.0613657,23.7318824
post_office,52.0691411,23.7312341
shop_grocery,52.0688582,23.7258145
shop_grocery,52.0596579,23.7297691
shop_grocery,52.0610674,23.7313567
shop_grocery,52.0537497,23.7234441
bank,52.0688573,23.7244379
station,52.0773531,23.7308563
cafe,52.0751091,23.7396229
station,52.4005261,23.3814682
station,51.7430884,24.1300428
station,52.1878849,23.9833280
station,51.9041341,23.9848655
station,51.8812613,24.0227947
shop_grocery,52.1101300,23.7432800
shop_grocery,52.1141941,23.7390232
shop_grocery,52.1128500,23.7339900
post_office,52.1014746,23.7237453
shop_grocery,52.0952239,23.7016099
shop_grocery,52.0947280,23.6996344
school,52.0939100,23.7166700
shop_grocery,52.0875031,23.7035835
shop_grocery,52.0838064,23.7022413
shop_grocery,52.0904201,23.7111982
shop_grocery,52.0882406,23.7087221
school,52.0916700,23.6993100
post_office,52.0886900,23.7055961
shop_grocery,52.1515593,23.7054468
bank,52.0859093,23.7042712
restaurant,52.1228654,23.6947834
fap,52.1011600,23.6945500
shop_grocery,53.7361686,27.3084374
station,53.0568828,27.2849227
post_office,52.0990368,23.6949976
station,53.5445167,26.9656531
cafe,52.0960300,23.6907100
restaurant,52.0942007,23.6867502
station,53.6245018,27.8216956
school,52.0971400,23.6890800
school,52.0977246,23.6901607
shop_grocery,52.0940806,23.6864167
shop_grocery,52.0942813,23.6878746
station,53.0371558,27.3533318
shop_grocery,53.4873200,26.7448200
cafe,52.0900195,23.6941931
shop_grocery,53.4848212,26.7387142
shop_grocery,53.4857139,26.7435699
shop_grocery,53.4845538,26.7396085
shop_grocery,53.4834076,26.7465188
cafe,53.4814405,26.7201602
shop_grocery,53.4832900,26.7555100
shop_grocery,53.4790800,26.7377600
shop_grocery,53.4811547,26.7195028
bank,53.4886246,26.7396269
post_office,53.4800583,26.7388077
shop_grocery,52.0895215,23.6944592
cafe,52.0873927,23.6959810
station,53.0662841,26.8239127
shop_grocery,53.5337602,26.7644866
station,53.0645112,26.7314516
cafe,53.4791773,26.7383451
cafe,53.4762767,26.7313705
