year,origin_oblast,dest_oblast,age_group,migrants
2009,BY-HO,BY-HM,50-54,94
2009,BY-HO,BY-HM,55-59,77
2009,BY-HO,BY-HM,60-64,64
2009,BY-HO,BY-HM,65-69,41
2009,BY-HO,BY-HM,70-74,48
2009,BY-HO,BY-HM,75-79,65
2009,BY-HO,BY-HM,80 и старше,127
2009,BY-HO,BY-HO,0-4,928
2009,BY-HO,BY-HO,10-14,839
2009,BY-HO,BY-HO,15-19,12621
2009,BY-HO,BY-HO,20-24,8256
2009,BY-HO,BY-HO,25-29,3390
2009,BY-HO,BY-HO,30-34,2094
2009,BY-HO,BY-HO,35-39,1484
2009,BY-HO,BY-HO,40-44,1152
2009,BY-HO,BY-HO,45-49,1033
2009,BY-HO,BY-HO,5-9,1061
2009,BY-HO,BY-HO,50-54,892
2009,BY-HO,BY-HO,55-59,606
2009,BY-HO,BY-HO,60-64,399
2009,BY-HO,BY-HO,65-69,270
2009,BY-HO,BY-HO,70-74,424
2009,BY-HO,BY-HO,75-79,348
2009,BY-HO,BY-HO,80 и старше,667
2009,BY-HO,BY-HO,Возраст не определен,6
2009,BY-HO,BY-HR,0-4,43
2009,BY-HO,BY-HR,10-14,23
2009,BY-HO,BY-HR,15-19,294
2009,BY-HO,BY-HR,20-24,483
2009,BY-HO,BY-HR,25-29,178
2009,BY-HO,BY-HR,30-34,79
2009,BY-HO,BY-HR,35-39,53
2009,BY-HO,BY-HR,40-44,43
2009,BY-HO,BY-HR,45-49,36
2009,BY-HO,BY-HR,5-9,30
2009,BY-HO,BY-HR,50-54,27
2009,BY-HO,BY-HR,55-59,13
2009,BY-HO,BY-HR,60-64,12
2009,BY-HO,BY-HR,65-69,14
2009,BY-HO,BY-HR,70-74,18
2009,BY-HO,BY-HR,75-79,18
2009,BY-HO,BY-HR,80 и старше,24
2009,BY-HO,BY-MA,0-4,68
2009,BY-HO,BY-MA,10-14,59
2009,BY-HO,BY-MA,15-19,1883
2009,BY-HO,BY-MA,20-24,1740
2009,BY-HO,BY-MA,25-29,727
2009,BY-HO,BY-MA,30-34,377
2009,BY-HO,BY-MA,35-39,308
2009,BY-HO,BY-MA,40-44,224
2009,BY-HO,BY-MA,45-49,206
2009,BY-HO,BY-MA,5-9,52
2009,BY-HO,BY-MA,50-54,132
2009,BY-HO,BY-MA,55-59,80
2009,BY-HO,BY-MA,60-64,39
2009,BY-HO,BY-MA,65-69,25
2009,BY-HO,BY-MA,70-74,32
2009,BY-HO,BY-MA,75-79,38
2009,BY-HO,BY-MA,80 и старше,61
2009,BY-HO,BY-MA,Возраст не определен,1
2009,BY-HO,BY-MI,0-4,118
2009,BY-HO,BY-MI,10-14,118
2009,BY-HO,BY-MI,15-19,909
2009,BY-HO,BY-MI,20-24,1402
2009,BY-HO,BY-MI,25-29,513
2009,BY-HO,BY-MI,30-34,227
2009,BY-HO,BY-MI,35-39,179
2009,BY-HO,BY-MI,40-44,144
2009,BY-HO,BY-MI,45-49,143
2009,BY-HO,BY-MI,5-9,139
2009,BY-HO,BY-MI,50-54,105
2009,BY-HO,BY-MI,55-59,72
2009,BY-HO,BY-MI,60-64,52
2009,BY-HO,BY-MI,65-69,47
2009,BY-HO,BY-MI,70-74,67
2009,BY-HO,BY-MI,75-79,58
2009,BY-HO,BY-MI,80 и старше,103
2009,BY-HO,BY-VI,0-4,47
2009,BY-HO,BY-VI,10-14,41
2009,BY-HO,BY-VI,15-19,717
2009,BY-HO,BY-VI,20-24,866
2009,BY-HO,BY-VI,25-29,292
2009,BY-HO,BY-VI,30-34,153
2009,BY-HO,BY-VI,35-39,156
2009,BY-HO,BY-VI,40-44,112
2009,BY-HO,BY-VI,45-49,87
2009,BY-HO,BY-VI,5-9,33
2009,BY-HO,BY-VI,50-54,52
2009,BY-HO,BY-VI,55-59,36
2009,BY-HO,BY-VI,60-64,13
2009,BY-HO,BY-VI,65-69,22
2009,BY-HO,BY-VI,70-74,22
2009,BY-HO,BY-VI,75-79,19
2009,BY-HO,BY-VI,80 и старше,40
2009,BY-HR,BY-BR,0-4,75
2009,BY-HR,BY-BR,10-14,67
2009,BY-HR,BY-BR,15-19,1167
2009,BY-HR,BY-BR,20-24,1018
