territory_id,metric,year,value,dtype
r-shklouski,min_minutes_to_minsk,2026,149.4,d
r-shumilinski,wage_byn,2010,86.772,d
r-shumilinski,wage_byn,2011,138.0294,d
r-shumilinski,wage_byn,2012,258.9728,d
r-shumilinski,wage_byn,2013,358.048,d
r-shumilinski,wage_byn,2014,437.1556,d
r-shumilinski,wage_byn,2015,466.2553,d
r-shumilinski,wage_byn,2016,493.3,d
r-shumilinski,wage_byn,2017,551.8,d
r-shumilinski,wage_byn,2018,659.2,d
r-shumilinski,wage_byn,2019,741.0,d
r-shumilinski,wage_byn,2020,860.1,d
r-shumilinski,wage_byn,2021,990.9,d
r-shumilinski,wage_byn,2022,1157.6,d
r-shumilinski,wage_byn,2023,1357.5,d
r-shumilinski,wage_byn,2024,1620.3,d
r-shumilinski,wage_byn,2025,1927.0,d
r-shumilinski,employed_persons,2010,9658.0,d
r-shumilinski,employed_persons,2011,9359.0,d
r-shumilinski,employed_persons,2012,8912.0,d
r-shumilinski,employed_persons,2013,8764.0,d
r-shumilinski,employed_persons,2014,8784.0,d
r-shumilinski,employed_persons,2015,8424.0,d
r-shumilinski,employed_persons,2016,7958.0,d
r-shumilinski,employed_persons,2017,7684.0,d
r-shumilinski,employed_persons,2018,7489.0,d
r-shumilinski,employed_persons,2019,7215.0,d
r-shumilinski,employed_persons,2020,7089.0,d
r-shumilinski,employed_persons,2021,6869.0,d
r-shumilinski,employed_persons,2022,6565.0,d
r-shumilinski,employed_persons,2023,6406.0,d
r-shumilinski,employed_persons,2024,6165.0,d
r-shumilinski,k_oblast_coverage_2019,2019,1.1295,m
r-shumilinski,avg_pension_oblast_byn,2025,907.08,d
r-shumilinski,min_minutes_to_minsk,2026,170.6,d
r-siennienski,wage_byn,2010,94.504,d
r-siennienski,wage_byn,2011,147.7856,d
r-siennienski,wage_byn,2012,280.4183,d
r-siennienski,wage_byn,2013,362.5333,d
r-siennienski,wage_byn,2014,436.2159,d
r-siennienski,wage_byn,2015,469.9605,d
r-siennienski,wage_byn,2016,494.8,d
r-siennienski,wage_byn,2017,558.1,d
r-siennienski,wage_byn,2018,660.2,d
r-siennienski,wage_byn,2019,741.4,d
r-siennienski,wage_byn,2020,851.1,d
r-siennienski,wage_byn,2021,962.9,d
r-siennienski,wage_byn,2022,1121.1,d
r-siennienski,wage_byn,2023,1360.0,d
r-siennienski,wage_byn,2024,1653.2,d
r-siennienski,wage_byn,2025,2002.5,d
r-siennienski,employed_persons,2010,11270.0,d
r-siennienski,employed_persons,2011,11032.0,d
r-siennienski,employed_persons,2012,10644.0,d
r-siennienski,employed_persons,2013,10352.0,d
r-siennienski,employed_persons,2014,9639.0,d
r-siennienski,employed_persons,2015,9466.0,d
r-siennienski,employed_persons,2016,9262.0,d
r-siennienski,employed_persons,2017,8879.0,d
r-siennienski,employed_persons,2018,8664.0,d
r-siennienski,employed_persons,2019,8193.0,d
r-siennienski,employed_persons,2020,7999.0,d
r-siennienski,employed_persons,2021,7740.0,d
r-siennienski,employed_persons,2022,7371.0,d
r-siennienski,employed_persons,2023,7004.0,d
r-siennienski,employed_persons,2024,6882.0,d
r-siennienski,k_oblast_coverage_2019,2019,1.1295,m
r-siennienski,avg_pension_oblast_byn,2025,907.08,d
r-siennienski,min_minutes_to_minsk,2026,136.1,d
r-slauharadski,wage_byn,2010,87.4292,d
r-slauharadski,wage_byn,2011,137.4747,d
r-slauharadski,wage_byn,2012,262.3468,d
r-slauharadski,wage_byn,2013,360.5388,d
r-slauharadski,wage_byn,2014,439.299,d
r-slauharadski,wage_byn,2015,484.3858,d
r-slauharadski,wage_byn,2016,514.4,d
r-slauharadski,wage_byn,2017,570.2,d
r-slauharadski,wage_byn,2018,643.8,d
r-slauharadski,wage_byn,2019,718.4,d
r-slauharadski,wage_byn,2020,831.6,d
r-slauharadski,wage_byn,2021,941.9,d
r-slauharadski,wage_byn,2022,1065.6,d
r-slauharadski,wage_byn,2023,1282.2,d
r-slauharadski,wage_byn,2024,1541.1,d
r-slauharadski,wage_byn,2025,1862.2,d
r-slauharadski,employed_persons,2010,5903.0,d
r-slauharadski,employed_persons,2011,5784.0,d
r-slauharadski,employed_persons,2012,5579.0,d
r-slauharadski,employed_persons,2013,5355.0,d
r-slauharadski,employed_persons,2014,5174.0,d
r-slauharadski,employed_persons,2015,5061.0,d
r-slauharadski,employed_persons,2016,4915.0,d
r-slauharadski,employed_persons,2017,4730.0,d
r-slauharadski,employed_persons,2018,4642.0,d
r-slauharadski,employed_persons,2019,4622.0,d
r-slauharadski,employed_persons,2020,4654.0,d
r-slauharadski,employed_persons,2021,4695.0,d
r-slauharadski,employed_persons,2022,4552.0,d
r-slauharadski,employed_persons,2023,4412.0,d
r-slauharadski,employed_persons,2024,4260.0,d
r-slauharadski,k_oblast_coverage_2019,2019,1.181,m
r-slauharadski,avg_pension_oblast_byn,2025,904.51,d
r-slauharadski,min_minutes_to_minsk,2026,194.5,d
r-slonimski,wage_byn,2010,98.3298,d
r-slonimski,wage_byn,2011,155.2327,d
r-slonimski,wage_byn,2012,304.0764,d
r-slonimski,wage_byn,2013,409.9036,d
r-slonimski,wage_byn,2014,477.9925,d
r-slonimski,wage_byn,2015,525.9005,d
r-slonimski,wage_byn,2016,527.6,d
r-slonimski,wage_byn,2017,614.0,d
r-slonimski,wage_byn,2018,765.9,d
r-slonimski,wage_byn,2019,845.6,d
r-slonimski,wage_byn,2020,973.7,d
r-slonimski,wage_byn,2021,1115.5,d
r-slonimski,wage_byn,2022,1317.7,d
r-slonimski,wage_byn,2023,1558.7,d
r-slonimski,wage_byn,2024,1844.7,d
r-slonimski,wage_byn,2025,2182.8,d
r-slonimski,employed_persons,2010,29455.0,d
r-slonimski,employed_persons,2011,29445.0,d
r-slonimski,employed_persons,2012,28651.0,d
r-slonimski,employed_persons,2013,28206.0,d
r-slonimski,employed_persons,2014,28310.0,d
r-slonimski,employed_persons,2015,27620.0,d
r-slonimski,employed_persons,2016,26564.0,d
r-slonimski,employed_persons,2017,25829.0,d
r-slonimski,employed_persons,2018,25492.0,d
r-slonimski,employed_persons,2019,25015.0,d
r-slonimski,employed_persons,2020,24642.0,d
r-slonimski,employed_persons,2021,24488.0,d
r-slonimski,employed_persons,2022,24147.0,d
r-slonimski,employed_persons,2023,23645.0,d
r-slonimski,employed_persons,2024,23414.0,d
r-slonimski,k_oblast_coverage_2019,2019,1.1456,m
r-slonimski,avg_pension_oblast_byn,2025,905.8,d
r-slonimski,min_minutes_to_minsk,2026,124.8,d
r-slucki,wage_byn,2010,104.0863,d
r-slucki,wage_byn,2011,158.0502,d
r-slucki,wage_byn,2012,315.6641,d
r-slucki,wage_byn,2013,435.1695,d
r-slucki,wage_byn,2014,521.7165,d
r-slucki,wage_byn,2015,581.3065,d
r-slucki,wage_byn,2016,598.6,d
r-slucki,wage_byn,2017,686.5,d
r-slucki,wage_byn,2018,789.7,d
r-slucki,wage_byn,2019,884.9,d
r-slucki,wage_byn,2020,1025.5,d
r-slucki,wage_byn,2021,1176.9,d
r-slucki,wage_byn,2022,1388.2,d
r-slucki,wage_byn,2023,1675.2,d
r-slucki,wage_byn,2024,1993.2,d
r-slucki,wage_byn,2025,2401.7,d
r-slucki,employed_persons,2010,44298.0,d
r-slucki,employed_persons,2011,43990.0,d
r-slucki,employed_persons,2012,43121.0,d
r-slucki,employed_persons,2013,42747.0,d
r-slucki,employed_persons,2014,42039.0,d
r-slucki,employed_persons,2015,42226.0,d
r-slucki,employed_persons,2016,41419.0,d
r-slucki,employed_persons,2017,40386.0,d
r-slucki,employed_persons,2018,39588.0,d
r-slucki,employed_persons,2019,38850.0,d
r-slucki,employed_persons,2020,38399.0,d
r-slucki,employed_persons,2021,37973.0,d
r-slucki,employed_persons,2022,37219.0,d
r-slucki,employed_persons,2023,36562.0,d
r-slucki,employed_persons,2024,36536.0,d
r-slucki,k_oblast_coverage_2019,2019,1.1262,m
r-slucki,avg_pension_oblast_byn,2025,914.4,d
r-slucki,min_minutes_to_minsk,2026,72.4,d
r-smalavicki,wage_byn,2010,118.9408,d
r-smalavicki,wage_byn,2011,184.9986,d
r-smalavicki,wage_byn,2012,366.3222,d
r-smalavicki,wage_byn,2013,522.983,d
r-smalavicki,wage_byn,2014,649.1516,d
r-smalavicki,wage_byn,2015,672.5835,d
r-smalavicki,wage_byn,2016,740.0,d
r-smalavicki,wage_byn,2017,866.4,d
r-smalavicki,wage_byn,2018,1013.7,d
r-smalavicki,wage_byn,2019,1132.4,d
