year,territory_id,age_group,sex,locality,pop
2019,BY-BR,65-69,t,urban,48881
2019,BY-BR,70-74,f,rural,10790
2019,BY-BR,70-74,f,total,29905
2019,BY-BR,70-74,f,urban,19115
2019,BY-BR,70-74,m,rural,6245
2019,BY-BR,70-74,m,total,16925
2019,BY-BR,70-74,m,urban,10680
2019,BY-BR,70-74,t,rural,17035
2019,BY-BR,70-74,t,total,46830
2019,BY-BR,70-74,t,urban,29795
2019,BY-BR,75-79,f,rural,11261
2019,BY-BR,75-79,f,total,23922
2019,BY-BR,75-79,f,urban,12661
2019,BY-BR,75-79,m,rural,4892
2019,BY-BR,75-79,m,total,10896
2019,BY-BR,75-79,m,urban,6004
2019,BY-BR,75-79,t,rural,16153
2019,BY-BR,75-79,t,total,34818
2019,BY-BR,75-79,t,urban,18665
2019,BY-BR,80 +,f,rural,21056
2019,BY-BR,80 +,f,total,39385
2019,BY-BR,80 +,f,urban,18329
2019,BY-BR,80 +,m,rural,6273
2019,BY-BR,80 +,m,total,12108
2019,BY-BR,80 +,m,urban,5835
2019,BY-BR,80 +,t,rural,27329
2019,BY-BR,80 +,t,total,51493
2019,BY-BR,80 +,t,urban,24164
2019,BY-HM,0-4,f,total,55650
2019,BY-HM,0-4,f,urban,55650
2019,BY-HM,0-4,m,total,58343
2019,BY-HM,0-4,m,urban,58343
2019,BY-HM,0-4,t,total,113993
2019,BY-HM,0-4,t,urban,113993
2019,BY-HM,10-14,f,total,45979
2019,BY-HM,10-14,f,urban,45979
2019,BY-HM,10-14,m,total,48093
2019,BY-HM,10-14,m,urban,48093
2019,BY-HM,10-14,t,total,94072
2019,BY-HM,10-14,t,urban,94072
2019,BY-HM,15-19,f,total,54831
2019,BY-HM,15-19,f,urban,54831
2019,BY-HM,15-19,m,total,55526
2019,BY-HM,15-19,m,urban,55526
2019,BY-HM,15-19,t,total,110357
2019,BY-HM,15-19,t,urban,110357
2019,BY-HM,20-24,f,total,63430
2019,BY-HM,20-24,f,urban,63430
2019,BY-HM,20-24,m,total,60440
2019,BY-HM,20-24,m,urban,60440
2019,BY-HM,20-24,t,total,123870
2019,BY-HM,20-24,t,urban,123870
2019,BY-HM,25-29,f,total,84536
2019,BY-HM,25-29,f,urban,84536
2019,BY-HM,25-29,m,total,79870
2019,BY-HM,25-29,m,urban,79870
2019,BY-HM,25-29,t,total,164406
2019,BY-HM,25-29,t,urban,164406
2019,BY-HM,30-34,f,total,102180
2019,BY-HM,30-34,f,urban,102180
2019,BY-HM,30-34,m,total,96139
2019,BY-HM,30-34,m,urban,96139
2019,BY-HM,30-34,t,total,198319
2019,BY-HM,30-34,t,urban,198319
2019,BY-HM,35-39,f,total,90635
2019,BY-HM,35-39,f,urban,90635
2019,BY-HM,35-39,m,total,86760
2019,BY-HM,35-39,m,urban,86760
2019,BY-HM,35-39,t,total,177395
2019,BY-HM,35-39,t,urban,177395
2019,BY-HM,40-44,f,total,73377
2019,BY-HM,40-44,f,urban,73377
2019,BY-HM,40-44,m,total,68521
2019,BY-HM,40-44,m,urban,68521
2019,BY-HM,40-44,t,total,141898
2019,BY-HM,40-44,t,urban,141898
2019,BY-HM,45-49,f,total,63992
2019,BY-HM,45-49,f,urban,63992
2019,BY-HM,45-49,m,total,55896
2019,BY-HM,45-49,m,urban,55896
2019,BY-HM,45-49,t,total,119888
2019,BY-HM,45-49,t,urban,119888
2019,BY-HM,5-9,f,total,55238
2019,BY-HM,5-9,f,urban,55238
2019,BY-HM,5-9,m,total,58029
2019,BY-HM,5-9,m,urban,58029
2019,BY-HM,5-9,t,total,113267
2019,BY-HM,5-9,t,urban,113267
2019,BY-HM,50-54,f,total,62817
2019,BY-HM,50-54,f,urban,62817
2019,BY-HM,50-54,m,total,50948
2019,BY-HM,50-54,m,urban,50948
2019,BY-HM,50-54,t,total,113765
2019,BY-HM,50-54,t,urban,113765
2019,BY-HM,55-59,f,total,80164
2019,BY-HM,55-59,f,urban,80164
2019,BY-HM,55-59,m,total,60100
2019,BY-HM,55-59,m,urban,60100
2019,BY-HM,55-59,t,total,140264
2019,BY-HM,55-59,t,urban,140264
2019,BY-HM,60-64,f,total,76084
2019,BY-HM,60-64,f,urban,76084
2019,BY-HM,60-64,m,total,51051
2019,BY-HM,60-64,m,urban,51051
2019,BY-HM,60-64,t,total,127135
2019,BY-HM,60-64,t,urban,127135
2019,BY-HM,65-69,f,total,65274
2019,BY-HM,65-69,f,urban,65274
2019,BY-HM,65-69,m,total,38318
2019,BY-HM,65-69,m,urban,38318
2019,BY-HM,65-69,t,total,103592
2019,BY-HM,65-69,t,urban,103592
2019,BY-HM,70-74,f,total,40596
2019,BY-HM,70-74,f,urban,40596
2019,BY-HM,70-74,m,total,22596
2019,BY-HM,70-74,m,urban,22596
2019,BY-HM,70-74,t,total,63192
2019,BY-HM,70-74,t,urban,63192
2019,BY-HM,75-79,f,total,30900
2019,BY-HM,75-79,f,urban,30900
2019,BY-HM,75-79,m,total,14071
2019,BY-HM,75-79,m,urban,14071
2019,BY-HM,75-79,t,total,44971
2019,BY-HM,75-79,t,urban,44971
2019,BY-HM,80 +,f,total,46497
2019,BY-HM,80 +,f,urban,46497
2019,BY-HM,80 +,m,total,16015
2019,BY-HM,80 +,m,urban,16015
2019,BY-HM,80 +,t,total,62512
2019,BY-HM,80 +,t,urban,62512
2019,BY-HO,0-4,f,rural,8808
2019,BY-HO,0-4,f,total,40431
2019,BY-HO,0-4,f,urban,31623
2019,BY-HO,0-4,m,rural,9568
2019,BY-HO,0-4,m,total,43376
2019,BY-HO,0-4,m,urban,33808
2019,BY-HO,0-4,t,rural,18376
2019,BY-HO,0-4,t,total,83807
2019,BY-HO,0-4,t,urban,65431
2019,BY-HO,10-14,f,rural,8913
2019,BY-HO,10-14,f,total,37106
2019,BY-HO,10-14,f,urban,28193
2019,BY-HO,10-14,m,rural,9112
2019,BY-HO,10-14,m,total,38882
2019,BY-HO,10-14,m,urban,29770
2019,BY-HO,10-14,t,rural,18025
2019,BY-HO,10-14,t,total,75988
2019,BY-HO,10-14,t,urban,57963
2019,BY-HO,15-19,f,rural,5959
2019,BY-HO,15-19,f,total,31110
2019,BY-HO,15-19,f,urban,25151
2019,BY-HO,15-19,m,rural,6487
2019,BY-HO,15-19,m,total,33266
2019,BY-HO,15-19,m,urban,26779
2019,BY-HO,15-19,t,rural,12446
2019,BY-HO,15-19,t,total,64376
2019,BY-HO,15-19,t,urban,51930
2019,BY-HO,20-24,f,rural,6221
2019,BY-HO,20-24,f,total,33047
2019,BY-HO,20-24,f,urban,26826
2019,BY-HO,20-24,m,rural,7260
2019,BY-HO,20-24,m,total,34767
2019,BY-HO,20-24,m,urban,27507
2019,BY-HO,20-24,t,rural,13481
2019,BY-HO,20-24,t,total,67814
2019,BY-HO,20-24,t,urban,54333
2019,BY-HO,25-29,f,rural,8366
2019,BY-HO,25-29,f,total,46423
2019,BY-HO,25-29,f,urban,38057
2019,BY-HO,25-29,m,rural,9525
2019,BY-HO,25-29,m,total,45653
2019,BY-HO,25-29,m,urban,36128
2019,BY-HO,25-29,t,rural,17891
2019,BY-HO,25-29,t,total,92076
2019,BY-HO,25-29,t,urban,74185
2019,BY-HO,30-34,f,rural,9950
2019,BY-HO,30-34,f,total,56340
2019,BY-HO,30-34,f,urban,46390
2019,BY-HO,30-34,m,rural,11244
2019,BY-HO,30-34,m,total,54460
2019,BY-HO,30-34,m,urban,43216
2019,BY-HO,30-34,t,rural,21194
2019,BY-HO,30-34,t,total,110800
2019,BY-HO,30-34,t,urban,89606
2019,BY-HO,35-39,f,rural,9950
2019,BY-HO,35-39,f,total,55227
2019,BY-HO,35-39,f,urban,45277
2019,BY-HO,35-39,m,rural,10557
2019,BY-HO,35-39,m,total,51927
2019,BY-HO,35-39,m,urban,41370
2019,BY-HO,35-39,t,rural,20507
2019,BY-HO,35-39,t,total,107154
2019,BY-HO,35-39,t,urban,86647
2019,BY-HO,40-44,f,rural,10361
2019,BY-HO,40-44,f,total,52547
2019,BY-HO,40-44,f,urban,42186
2019,BY-HO,40-44,m,rural,10715
2019,BY-HO,40-44,m,total,47408
2019,BY-HO,40-44,m,urban,36693
2019,BY-HO,40-44,t,rural,21076
2019,BY-HO,40-44,t,total,99955
2019,BY-HO,40-44,t,urban,78879
2019,BY-HO,45-49,f,rural,11459
2019,BY-HO,45-49,f,total,51802
2019,BY-HO,45-49,f,urban,40343
2019,BY-HO,45-49,m,rural,11621
2019,BY-HO,45-49,m,total,45764
2019,BY-HO,45-49,m,urban,34143
2019,BY-HO,45-49,t,rural,23080
2019,BY-HO,45-49,t,total,97566
2019,BY-HO,45-49,t,urban,74486
2019,BY-HO,5-9,f,rural,9017
2019,BY-HO,5-9,f,total,41275
2019,BY-HO,5-9,f,urban,32258
2019,BY-HO,5-9,m,rural,9560
2019,BY-HO,5-9,m,total,43933
2019,BY-HO,5-9,m,urban,34373
2019,BY-HO,5-9,t,rural,18577
2019,BY-HO,5-9,t,total,85208
2019,BY-HO,5-9,t,urban,66631
2019,BY-HO,50-54,f,rural,12618
2019,BY-HO,50-54,f,total,53041
2019,BY-HO,50-54,f,urban,40423
2019,BY-HO,50-54,m,rural,12719
2019,BY-HO,50-54,m,total,45952
2019,BY-HO,50-54,m,urban,33233
2019,BY-HO,50-54,t,rural,25337
2019,BY-HO,50-54,t,total,98993
2019,BY-HO,50-54,t,urban,73656
2019,BY-HO,55-59,f,rural,14713
2019,BY-HO,55-59,f,total,57082
2019,BY-HO,55-59,f,urban,42369
2019,BY-HO,55-59,m,rural,15134
2019,BY-HO,55-59,m,total,47689
2019,BY-HO,55-59,m,urban,32555
2019,BY-HO,55-59,t,rural,29847
2019,BY-HO,55-59,t,total,104771
2019,BY-HO,55-59,t,urban,74924
2019,BY-HO,60-64,f,rural,14104
2019,BY-HO,60-64,f,total,56240
2019,BY-HO,60-64,f,urban,42136
2019,BY-HO,60-64,m,rural,13488
2019,BY-HO,60-64,m,total,43288
2019,BY-HO,60-64,m,urban,29800
