territory_id,oblast,median2009,median2019,share65_2009,share65_2019,depRatio2019,yearsTo30,naturalCagr
r-chacherski,BY-HO,39.1,39.7,18.9,14.1,51.0,,-0.28
r-chojnicki,BY-HO,38.6,41.0,16.8,15.3,53.1,,-0.33
r-dobrushski,BY-HO,42.6,44.5,19.8,18.3,55.1,,-0.69
r-homielski,BY-HO,40.3,42.1,15.7,16.2,52.7,,-0.56
r-jelski,BY-HO,41.9,43.6,18.1,17.3,54.3,,-0.62
r-kalinkavicki,BY-HO,39.9,40.8,16.2,15.5,52.0,,-0.42
r-karmianski,BY-HO,36.9,38.8,15.7,12.7,50.5,,-0.25
r-lelchycki,BY-HO,39.1,41.7,17.3,16.3,57.5,,-0.48
r-lojeuski,BY-HO,43.7,46.1,20.6,20.3,56.3,,-0.75
r-mazyrski,BY-HO,36.7,38.4,11.5,12.4,44.8,,-0.19
r-naraulanski,BY-HO,36.6,38.4,16.4,13.7,53.3,,-0.14
r-pietrykauski,BY-HO,44.9,47.2,21.4,19.7,57.4,,-0.89
r-rahachouski,BY-HO,42.1,45.8,16.6,19.4,57.3,,-0.82
r-rechycki,BY-HO,39.9,41.1,15.9,15.4,50.1,,-0.41
r-svietlahorski,BY-HO,41.5,43.7,15.7,17.1,50.6,,-0.66
r-vietkauski,BY-HO,41.4,42.1,22.0,17.5,56.5,,-0.5
r-zhlobinski,BY-HO,36.2,37.5,11.1,10.9,46.2,,-0.11
r-zhytkavicki,BY-HO,41.7,43.9,18.8,17.6,57.7,,-0.67
BY-HR,BY-HR,39.9,41.6,15.8,16.5,51.9,,-0.47
c-hrodna,BY-HR,34.6,36.8,9.7,13.6,49.8,,-0.09
r-ashmianski,BY-HR,39.4,41.2,16.9,15.9,53.5,,-0.41
r-astraviecki,BY-HR,41.5,39.6,17.8,15.1,49.2,,-0.36
r-bierastavicki,BY-HR,42.0,45.8,20.5,19.7,56.2,,-0.74
r-dziatlauski,BY-HR,45.4,48.3,22.7,21.5,55.6,20,-1.02
r-hrodzienski,BY-HR,41.2,45.2,19.0,19.7,56.9,,-0.75
r-iujeuski,BY-HR,43.5,48.0,23.7,21.4,57.9,20,-1.03
r-karelicki,BY-HR,46.6,50.7,26.5,24.8,60.0,15,-1.23
r-lidski,BY-HR,39.7,41.3,13.9,14.5,47.7,,-0.4
r-mastouski,BY-HR,44.1,48.6,21.2,21.8,60.1,15,-1.01
r-navahrudski,BY-HR,43.1,46.2,20.1,19.7,52.8,,-0.82
r-shchuchynski,BY-HR,46.1,49.0,24.7,23.8,61.6,20,-1.13
r-slonimski,BY-HR,40.7,42.3,16.0,16.5,51.7,,-0.53
r-smarhonski,BY-HR,41.1,43.0,14.9,15.6,50.7,,-0.58
r-svislacki,BY-HR,46.3,51.9,24.0,26.0,63.2,10,-1.41
r-vaukavyski,BY-HR,40.3,42.9,15.2,15.5,49.6,,-0.51
r-voranauski,BY-HR,42.3,46.2,20.8,19.2,55.7,,-0.78
r-zelvienski,BY-HR,47.1,51.2,25.1,24.6,60.8,10,-1.36
BY-MA,BY-MA,39.2,41.6,14.3,15.5,47.4,,-0.49
c-babrujsk,BY-MA,38.0,40.4,12.1,14.8,46.6,,-0.42
c-mahilou,BY-MA,36.7,39.5,11.1,13.9,44.2,,-0.3
r-asipovicki,BY-MA,40.7,43.1,15.3,17.1,52.2,,-0.64
r-babrujski,BY-MA,48.1,49.5,26.0,22.1,54.1,15,-1.16
r-bialynicki,BY-MA,43.6,46.6,19.5,19.7,56.7,,-0.9
r-bychauski,BY-MA,43.5,45.2,19.6,18.5,52.4,,-0.77
r-chavuski,BY-MA,45.1,47.6,19.9,20.1,53.4,,-1.0
r-cherykauski,BY-MA,39.1,42.0,16.0,15.3,50.8,,-0.46
r-chocimski,BY-MA,42.4,46.8,17.3,17.8,48.5,20,-0.9
r-drybinski,BY-MA,42.6,44.9,21.0,16.7,50.2,,-0.67
r-hluski,BY-MA,44.6,48.1,21.5,19.7,54.3,15,-0.96
r-horacki,BY-MA,36.1,41.1,13.1,15.1,43.2,,-0.43
r-kasciukovicki,BY-MA,39.6,42.5,16.0,14.1,46.3,,-0.45
r-kirauski,BY-MA,42.9,46.6,18.6,18.7,51.4,,-0.87
r-klichauski,BY-MA,42.3,46.3,17.9,17.1,47.9,,-0.84
r-klimavicki,BY-MA,39.8,43.9,16.0,16.3,49.8,,-0.61
r-krasnapolski,BY-MA,38.6,42.5,15.9,15.0,49.2,,-0.51
r-kruhlanski,BY-MA,41.2,44.7,16.2,16.6,51.1,,-0.72
r-krychauski,BY-MA,41.0,43.5,15.9,16.7,50.5,,-0.61
r-mahilouski,BY-MA,43.1,42.4,18.6,16.7,52.3,,-0.63
r-mscislauski,BY-MA,41.2,45.9,17.6,16.8,47.4,,-0.76
r-shklouski,BY-MA,41.8,42.5,17.6,16.3,48.6,,-0.64
r-slauharadski,BY-MA,39.7,42.9,16.4,15.9,53.6,,-0.49
BY-MI,BY-MI,40.3,40.9,15.5,15.1,47.8,,-0.31
c-zhodzina,BY-MI,36.5,37.7,9.7,10.9,40.8,,-0.07
r-barysauski,BY-MI,39.1,40.9,13.4,14.7,45.3,,-0.31
r-biarezinski,BY-MI,43.8,45.9,19.6,18.0,50.0,,-0.66
r-chervienski,BY-MI,41.3,43.0,17.7,16.7,46.8,,-0.44
r-dziarzhynski,BY-MI,37.8,38.2,13.0,13.6,47.5,,-0.12
r-kapylski,BY-MI,45.6,47.9,24.1,20.9,54.5,,-0.85
r-klecki,BY-MI,43.8,47.6,19.6,19.4,51.5,20,-0.82
r-krupski,BY-MI,44.4,46.6,21.5,19.2,52.9,,-0.75
r-lahojski,BY-MI,42.4,41.7,19.1,16.2,50.4,,-0.39
r-lubanski,BY-MI,42.5,45.8,18.3,18.2,52.1,,-0.63
r-maladziechanski,BY-MI,39.3,40.8,13.5,15.4,48.7,,-0.29
r-miadzielski,BY-MI,45.4,47.6,21.6,20.8,53.1,,-0.81
r-minski,BY-MI,35.3,36.8,11.2,11.0,44.6,,0.09
r-niasvizhski,BY-MI,42.0,43.0,18.6,17.2,52.7,,-0.44
r-puchavicki,BY-MI,40.4,41.9,15.6,16.8,50.8,,-0.48
r-salihorski,BY-MI,39.5,40.1,13.5,13.9,46.1,,-0.23
r-slucki,BY-MI,41.1,43.0,16.5,16.4,48.2,,-0.41
r-smalavicki,BY-MI,39.8,39.9,15.4,14.7,48.1,,-0.28
r-staradarozhski,BY-MI,42.2,44.9,17.8,17.3,50.3,,-0.62
r-staubcouski,BY-MI,42.7,45.2,19.2,18.3,52.9,,-0.59
r-uzdzienski,BY-MI,42.9,44.0,18.3,17.4,51.6,,-0.53
r-valozhynski,BY-MI,44.8,46.0,22.9,20.5,55.2,,-0.72
r-vilejski,BY-MI,43.6,45.9,18.9,18.6,48.6,,-0.66
BY-VI,BY-VI,40.8,43.1,15.7,17.4,48.2,35,-0.75
c-navapolack,BY-VI,37.8,41.2,11.3,16.9,47.9,40,-0.65
c-orsha,BY-VI,39.9,0,14.3,0.0,0.0,,
c-polack,BY-VI,38.0,0,13.6,0.0,0.0,,
c-viciebsk,BY-VI,37.5,40.1,12.2,15.4,43.7,35,-0.52
r-arshanski,BY-VI,44.7,43.7,19.5,17.2,47.9,35,-0.77
r-bieshankovicki,BY-VI,46.7,49.7,21.9,21.5,56.0,10,-1.22
r-braslauski,BY-VI,43.3,46.3,20.8,20.1,54.2,,-0.99
r-chashnicki,BY-VI,43.1,46.5,17.4,19.6,53.8,25,-1.01
r-dokshycki,BY-VI,45.4,47.4,21.9,20.4,56.4,20,-1.06
r-dubrovienski,BY-VI,43.5,46.3,17.5,18.9,50.4,,-0.96
r-haradocki,BY-VI,45.2,48.1,19.5,20.7,52.8,15,-1.15
r-hlybocki,BY-VI,43.5,46.0,19.5,19.6,54.9,30,-1.01
r-lepielski,BY-VI,40.9,43.7,16.1,17.2,50.1,60,-0.84
r-loznienski,BY-VI,44.2,47.1,19.6,20.1,51.6,25,-1.07
r-mijorski,BY-VI,44.2,48.2,20.8,21.0,54.6,15,-1.15
r-pastauski,BY-VI,44.6,46.0,20.7,19.6,55.4,35,-0.99
r-polacki,BY-VI,45.1,41.2,21.0,15.4,45.2,,-0.56
r-rasonski,BY-VI,45.8,49.0,19.3,19.4,52.2,10,-1.15
r-sharkoushchynski,BY-VI,44.0,48.7,19.7,21.3,53.0,15,-1.19
r-shumilinski,BY-VI,44.0,45.8,17.6,17.9,51.1,35,-0.95
r-siennienski,BY-VI,45.3,49.4,20.4,21.6,54.0,10,-1.22
r-talachynski,BY-VI,44.4,46.4,18.2,18.7,52.4,35,-0.98
r-ushacki,BY-VI,46.9,50.3,22.7,21.1,53.8,10,-1.29
r-viciebski,BY-VI,42.2,44.8,17.8,19.0,53.5,,-0.91
r-vierchniadzvinski,BY-VI,44.1,47.3,18.7,19.4,52.6,20,-1.04
