territory_id,scenario,jumpoff,year,pop,q10,q90
BY-MI,negative,official,2051,1031801,,
BY-MI,negative,official,2056,964053,,
BY-MI,negative,official,2061,898439,,
BY-MI,negative,official,2066,835301,,
BY-MI,negative,official,2071,776762,,
BY-MI,negative,official,2075,736292,,
BY-MI,optimistic,official,2026,1454737,,
BY-MI,optimistic,official,2031,1401416,,
BY-MI,optimistic,official,2036,1353891,,
BY-MI,optimistic,official,2041,1319199,,
BY-MI,optimistic,official,2046,1292102,,
BY-MI,optimistic,official,2051,1270686,,
BY-MI,optimistic,official,2056,1252667,,
BY-MI,optimistic,official,2061,1237451,,
BY-MI,optimistic,official,2066,1227044,,
BY-MI,optimistic,official,2071,1223479,,
BY-MI,optimistic,official,2075,1228420,,
BY-VI,base,official,2026,1060687,1055493,1066043
BY-VI,base,official,2031,998618,981241,1014974
BY-VI,base,official,2036,935916,907601,963952
BY-VI,base,official,2041,874450,835985,913545
BY-VI,base,official,2046,815209,766640,862471
BY-VI,base,official,2051,756537,702244,812897
BY-VI,base,official,2056,697362,635156,758916
BY-VI,base,official,2061,638588,572270,704992
BY-VI,base,official,2066,581327,510970,654763
BY-VI,base,official,2071,526674,453963,606467
BY-VI,base,official,2075,487513,411509,570458
BY-VI,negative,official,2026,1060687,,
BY-VI,negative,official,2031,979987,,
BY-VI,negative,official,2036,897034,,
BY-VI,negative,official,2041,817865,,
BY-VI,negative,official,2046,741134,,
BY-VI,negative,official,2051,665654,,
BY-VI,negative,official,2056,593229,,
BY-VI,negative,official,2061,522489,,
BY-VI,negative,official,2066,454200,,
BY-VI,negative,official,2071,390048,,
BY-VI,negative,official,2075,344518,,
BY-VI,optimistic,official,2026,1060687,,
BY-VI,optimistic,official,2031,1002406,,
BY-VI,optimistic,official,2036,946250,,
BY-VI,optimistic,official,2041,895861,,
BY-VI,optimistic,official,2046,849480,,
BY-VI,optimistic,official,2051,804380,,
BY-VI,optimistic,official,2056,758137,,
BY-VI,optimistic,official,2061,711151,,
BY-VI,optimistic,official,2066,665248,,
BY-VI,optimistic,official,2071,622215,,
BY-VI,optimistic,official,2075,592432,,
c-akciabrski,base,official,2026,7060,,
c-akciabrski,base,official,2031,6913,,
c-akciabrski,base,official,2036,6695,,
c-akciabrski,base,official,2041,6483,,
c-akciabrski,base,official,2046,6253,,
c-akciabrski,base,official,2051,6003,,
c-akciabrski,base,official,2056,5723,,
c-akciabrski,base,official,2061,5430,,
c-akciabrski,base,official,2066,5139,,
c-akciabrski,base,official,2071,4868,,
c-akciabrski,base,official,2075,4670,,
c-akciabrski,negative,official,2026,7060,,
c-akciabrski,negative,official,2031,6770,,
c-akciabrski,negative,official,2036,6386,,
c-akciabrski,negative,official,2041,6014,,
c-akciabrski,negative,official,2046,5622,,
c-akciabrski,negative,official,2051,5217,,
c-akciabrski,negative,official,2056,4800,,
c-akciabrski,negative,official,2061,4375,,
c-akciabrski,negative,official,2066,3946,,
c-akciabrski,negative,official,2071,3542,,
c-akciabrski,negative,official,2075,3242,,
c-akciabrski,optimistic,official,2026,7060,,
c-akciabrski,optimistic,official,2031,6948,,
c-akciabrski,optimistic,official,2036,6788,,
c-akciabrski,optimistic,official,2041,6675,,
c-akciabrski,optimistic,official,2046,6565,,
c-akciabrski,optimistic,official,2051,6446,,
c-akciabrski,optimistic,official,2056,6297,,
