territory_id,oblast,year,age_group,sex,locality,pop
c-pinsk,BY-BR,2019,60-64,f,urban,4564
c-pinsk,BY-BR,2019,60-64,m,urban,3218
c-pinsk,BY-BR,2019,65-69,f,urban,3737
c-pinsk,BY-BR,2019,65-69,m,urban,2287
c-pinsk,BY-BR,2019,70-74,f,urban,2500
c-pinsk,BY-BR,2019,70-74,m,urban,1509
c-pinsk,BY-BR,2019,75-79,f,urban,1454
c-pinsk,BY-BR,2019,75-79,m,urban,786
c-pinsk,BY-BR,2019,80 и старше,f,urban,2065
c-pinsk,BY-BR,2019,80 и старше,m,urban,666
r-baranavicki,BY-BR,2019,0-4,f,rural,606
r-baranavicki,BY-BR,2019,0-4,f,urban,46
r-baranavicki,BY-BR,2019,0-4,m,rural,654
r-baranavicki,BY-BR,2019,0-4,m,urban,46
r-baranavicki,BY-BR,2019,5-9,f,rural,721
r-baranavicki,BY-BR,2019,5-9,f,urban,51
r-baranavicki,BY-BR,2019,5-9,m,rural,802
r-baranavicki,BY-BR,2019,5-9,m,urban,54
r-baranavicki,BY-BR,2019,10-14,f,rural,836
r-baranavicki,BY-BR,2019,10-14,f,urban,57
r-baranavicki,BY-BR,2019,10-14,m,rural,899
r-baranavicki,BY-BR,2019,10-14,m,urban,76
r-baranavicki,BY-BR,2019,15-19,f,rural,468
r-baranavicki,BY-BR,2019,15-19,f,urban,40
r-baranavicki,BY-BR,2019,15-19,m,rural,553
r-baranavicki,BY-BR,2019,15-19,m,urban,44
r-baranavicki,BY-BR,2019,20-24,f,rural,400
r-baranavicki,BY-BR,2019,20-24,f,urban,64
r-baranavicki,BY-BR,2019,20-24,m,rural,423
r-baranavicki,BY-BR,2019,20-24,m,urban,53
r-baranavicki,BY-BR,2019,25-29,f,rural,520
r-baranavicki,BY-BR,2019,25-29,f,urban,47
r-baranavicki,BY-BR,2019,25-29,m,rural,658
r-baranavicki,BY-BR,2019,25-29,m,urban,70
r-baranavicki,BY-BR,2019,30-34,f,rural,799
r-baranavicki,BY-BR,2019,30-34,f,urban,58
r-baranavicki,BY-BR,2019,30-34,m,rural,764
r-baranavicki,BY-BR,2019,30-34,m,urban,56
r-baranavicki,BY-BR,2019,35-39,f,rural,872
r-baranavicki,BY-BR,2019,35-39,f,urban,65
r-baranavicki,BY-BR,2019,35-39,m,rural,914
r-baranavicki,BY-BR,2019,35-39,m,urban,54
r-baranavicki,BY-BR,2019,40-44,f,rural,842
r-baranavicki,BY-BR,2019,40-44,f,urban,68
r-baranavicki,BY-BR,2019,40-44,m,rural,881
r-baranavicki,BY-BR,2019,40-44,m,urban,73
r-baranavicki,BY-BR,2019,45-49,f,rural,960
r-baranavicki,BY-BR,2019,45-49,f,urban,56
r-baranavicki,BY-BR,2019,45-49,m,rural,961
r-baranavicki,BY-BR,2019,45-49,m,urban,63
