country,year,age,birth_order,asfr_period
Belarus,1971,40,5p,0.00629
Belarus,1971,40,total,0.02087
Belarus,1971,50,1,0.0
Belarus,1971,50,2,2e-05
Belarus,1971,50,3,1e-05
Belarus,1971,50,4,1e-05
Belarus,1971,50,5p,3e-05
Belarus,1971,50,total,7e-05
Belarus,1971,55+,1,0.0
Belarus,1971,55+,2,0.0
Belarus,1971,55+,3,3e-05
Belarus,1971,55+,4,0.0
Belarus,1971,55+,5p,0.0
Belarus,1971,55+,total,3e-05
Belarus,1972,12-,1,0.0
Belarus,1972,12-,2,0.0
Belarus,1972,12-,3,0.0
Belarus,1972,12-,4,0.0
Belarus,1972,12-,5p,0.0
Belarus,1972,12-,total,0.0
Belarus,1972,20,1,0.12877
Belarus,1972,20,2,0.01562
Belarus,1972,20,3,0.00079
Belarus,1972,20,4,0.0
Belarus,1972,20,5p,0.0
Belarus,1972,20,total,0.14518
Belarus,1972,30,1,0.01632
Belarus,1972,30,2,0.05117
Belarus,1972,30,3,0.02413
Belarus,1972,30,4,0.00872
Belarus,1972,30,5p,0.00454
Belarus,1972,30,total,0.10487
Belarus,1972,40,1,0.00252
Belarus,1972,40,2,0.00389
Belarus,1972,40,3,0.00461
Belarus,1972,40,4,0.00297
Belarus,1972,40,5p,0.00581
Belarus,1972,40,total,0.0198
Belarus,1972,50,1,3e-05
Belarus,1972,50,2,2e-05
Belarus,1972,50,3,1e-05
Belarus,1972,50,4,0.0
Belarus,1972,50,5p,2e-05
Belarus,1972,50,total,8e-05
Belarus,1972,55+,1,0.0
Belarus,1972,55+,2,0.0
Belarus,1972,55+,3,0.0
Belarus,1972,55+,4,0.0
Belarus,1972,55+,5p,0.0
Belarus,1972,55+,total,0.0
Belarus,1973,12-,1,0.0
Belarus,1973,12-,2,0.0
Belarus,1973,12-,3,0.0
Belarus,1973,12-,4,0.0
Belarus,1973,12-,5p,0.0
Belarus,1973,12-,total,0.0
Belarus,1973,20,1,0.12045
Belarus,1973,20,2,0.01488
Belarus,1973,20,3,0.00094
Belarus,1973,20,4,0.0
Belarus,1973,20,5p,0.0
Belarus,1973,20,total,0.13628
Belarus,1973,30,1,0.0141
Belarus,1973,30,2,0.04527
Belarus,1973,30,3,0.02114
Belarus,1973,30,4,0.00737
Belarus,1973,30,5p,0.0039
Belarus,1973,30,total,0.09178
Belarus,1973,40,1,0.00272
Belarus,1973,40,2,0.0033
Belarus,1973,40,3,0.00391
Belarus,1973,40,4,0.00281
Belarus,1973,40,5p,0.00541
Belarus,1973,40,total,0.01815
Belarus,1973,50,1,1e-05
Belarus,1973,50,2,0.0
Belarus,1973,50,3,1e-05
Belarus,1973,50,4,0.0
Belarus,1973,50,5p,1e-05
Belarus,1973,50,total,3e-05
Belarus,1973,55+,1,0.0
Belarus,1973,55+,2,0.0
Belarus,1973,55+,3,0.0
Belarus,1973,55+,4,0.0
Belarus,1973,55+,5p,0.0
Belarus,1973,55+,total,0.0
Belarus,1974,12-,1,0.0
Belarus,1974,12-,2,0.0
Belarus,1974,12-,3,0.0
Belarus,1974,12-,4,0.0
Belarus,1974,12-,5p,0.0
Belarus,1974,12-,total,0.0
Belarus,1974,20,1,0.12302
Belarus,1974,20,2,0.01494
Belarus,1974,20,3,0.00086
Belarus,1974,20,4,0.0
Belarus,1974,20,5p,0.0
Belarus,1974,20,total,0.13883
Belarus,1974,30,1,0.01484
Belarus,1974,30,2,0.04818
Belarus,1974,30,3,0.02196
Belarus,1974,30,4,0.00767
Belarus,1974,30,5p,0.0041
Belarus,1974,30,total,0.09674
Belarus,1974,40,1,0.00209
Belarus,1974,40,2,0.00366
Belarus,1974,40,3,0.00352
Belarus,1974,40,4,0.00249
Belarus,1974,40,5p,0.00498
Belarus,1974,40,total,0.01675
Belarus,1974,50,1,1e-05
Belarus,1974,50,2,0.0
Belarus,1974,50,3,1e-05
Belarus,1974,50,4,0.0
Belarus,1974,50,5p,0.0
Belarus,1974,50,total,2e-05
Belarus,1974,55+,1,0.0
Belarus,1974,55+,2,0.0
Belarus,1974,55+,3,0.0
Belarus,1974,55+,4,0.0
Belarus,1974,55+,5p,0.0
Belarus,1974,55+,total,0.0
Belarus,1975,12-,1,0.0
Belarus,1975,12-,2,0.0
Belarus,1975,12-,3,0.0
Belarus,1975,12-,4,0.0
Belarus,1975,12-,5p,0.0
Belarus,1975,12-,total,0.0
Belarus,1975,20,1,0.12754
Belarus,1975,20,2,0.01655
Belarus,1975,20,3,0.00112
Belarus,1975,20,4,0.0
Belarus,1975,20,5p,0.0
Belarus,1975,20,total,0.14522
Belarus,1975,30,1,0.01406
Belarus,1975,30,2,0.04798
Belarus,1975,30,3,0.02159
Belarus,1975,30,4,0.00755
Belarus,1975,30,5p,0.00427
Belarus,1975,30,total,0.09545
Belarus,1975,40,1,0.00187
Belarus,1975,40,2,0.00292
Belarus,1975,40,3,0.00325
Belarus,1975,40,4,0.00228
Belarus,1975,40,5p,0.00504
Belarus,1975,40,total,0.01536
Belarus,1975,50,1,0.0
Belarus,1975,50,2,0.0
Belarus,1975,50,3,0.0
Belarus,1975,50,4,0.0
Belarus,1975,50,5p,0.0
Belarus,1975,50,total,0.0
Belarus,1975,55+,1,0.0
Belarus,1975,55+,2,0.0
Belarus,1975,55+,3,0.0
Belarus,1975,55+,4,0.0
Belarus,1975,55+,5p,0.0
Belarus,1975,55+,total,0.0
Belarus,1976,12-,1,0.0
Belarus,1976,12-,2,0.0
Belarus,1976,12-,3,0.0
Belarus,1976,12-,4,0.0
Belarus,1976,12-,5p,0.0
Belarus,1976,12-,total,0.0
Belarus,1976,20,1,0.13139
Belarus,1976,20,2,0.01696
Belarus,1976,20,3,0.00115
Belarus,1976,20,4,0.0
Belarus,1976,20,5p,0.0
Belarus,1976,20,total,0.1495
Belarus,1976,30,1,0.01222
Belarus,1976,30,2,0.03833
Belarus,1976,30,3,0.01675
Belarus,1976,30,4,0.00591
Belarus,1976,30,5p,0.00371
Belarus,1976,30,total,0.07691
Belarus,1976,40,1,0.00204
Belarus,1976,40,2,0.00318
Belarus,1976,40,3,0.00339
Belarus,1976,40,4,0.00234
Belarus,1976,40,5p,0.00475
Belarus,1976,40,total,0.01571
Belarus,1976,50,1,0.0
Belarus,1976,50,2,0.0
Belarus,1976,50,3,0.0
Belarus,1976,50,4,1e-05
Belarus,1976,50,5p,0.0
Belarus,1976,50,total,1e-05
Belarus,1976,55+,1,0.0
Belarus,1976,55+,2,0.0
Belarus,1976,55+,3,0.0
Belarus,1976,55+,4,0.0
Belarus,1976,55+,5p,0.0
Belarus,1976,55+,total,0.0
Belarus,1977,12-,1,0.0
Belarus,1977,12-,2,0.0
Belarus,1977,12-,3,0.0
Belarus,1977,12-,4,0.0
Belarus,1977,12-,5p,0.0
Belarus,1977,12-,total,0.0
Belarus,1977,20,1,0.13181
Belarus,1977,20,2,0.0185
Belarus,1977,20,3,0.00107
Belarus,1977,20,4,0.0
Belarus,1977,20,5p,0.0
Belarus,1977,20,total,0.15139
Belarus,1977,30,1,0.01432
Belarus,1977,30,2,0.04902
Belarus,1977,30,3,0.01889
Belarus,1977,30,4,0.00661
Belarus,1977,30,5p,0.00433
Belarus,1977,30,total,0.09318
Belarus,1977,40,1,0.0017
Belarus,1977,40,2,0.00294
Belarus,1977,40,3,0.00311
Belarus,1977,40,4,0.00209
Belarus,1977,40,5p,0.00434
Belarus,1977,40,total,0.01419
Belarus,1977,50,1,0.0
Belarus,1977,50,2,0.0
Belarus,1977,50,3,1e-05
Belarus,1977,50,4,0.0
Belarus,1977,50,5p,0.0
Belarus,1977,50,total,1e-05
Belarus,1977,55+,1,0.0
Belarus,1977,55+,2,0.0
Belarus,1977,55+,3,0.0
