country,year,sex,age,type,central_death_rate,probability_of_death,average_survival_length,number_survivors,number_deaths,number_person_years_lived,number_person_years_remaining,life_expectancy
Belarus,1960,female,1,period,3.97,0.396,0.5,96947,384,96755,7383971,76.16
Belarus,1960,female,1-4,period,1.86,0.74200004,1.35,96947,719,385884,7383971,76.16
Belarus,1960,female,10,period,0.5,0.05,0.5,95927,48,95903,6517740,67.94
Belarus,1960,female,10-14,period,0.53000003,0.263,2.56,95927,252,479021,6517740,67.94
Belarus,1960,female,100,period,232.56,20.834,0.5,3011,627,2697,11236,3.73
Belarus,1960,female,100-104,period,251.15999,72.594,2.09,3011,2185,8702,11236,3.73
Belarus,1960,female,101,period,244.58,21.793001,0.5,2383,519,2124,8539,3.58
Belarus,1960,female,102,period,257.02,22.775,0.5,1864,425,1652,6415,3.44
Belarus,1960,female,103,period,269.86,23.778,0.5,1439,342,1268,4764,3.31
Belarus,1960,female,104,period,283.1,24.8,0.5,1097,272,961,3495,3.19
Belarus,1960,female,105,period,296.73,25.839,0.5,825,213,718,2534,3.07
Belarus,1960,female,105-109,period,316.43997,80.638,1.96,825,665,2102,2534,3.07
Belarus,1960,female,106,period,310.72,26.894001,0.5,612,165,530,1816,2.97
Belarus,1960,female,107,period,325.08002,27.963001,0.5,447,125,385,1286,2.88
Belarus,1960,female,108,period,339.77,29.043001,0.5,322,94,275,901,2.8
Belarus,1960,female,109,period,354.77002,30.131998,0.5,229,69,194,626,2.74
Belarus,1960,female,11,period,0.5,0.05,0.5,95879,48,95855,6421836,66.98
Belarus,1960,female,110+,period,370.06,100.0,2.7,160,160,432,432,2.7
Belarus,1960,female,12,period,0.46,0.046,0.5,95831,44,95809,6325981,66.01
Belarus,1960,female,13,period,0.68,0.067999996,0.5,95787,65,95755,6230172,65.04
Belarus,1960,female,14,period,0.49,0.049000002,0.5,95722,47,95698,6134417,64.09
Belarus,1960,female,15,period,0.62,0.062,0.5,95675,59,95645,6038719,63.12
Belarus,1960,female,15-19,period,0.65,0.32299998,2.61,95675,309,477634,6038719,63.12
Belarus,1960,female,16,period,0.57,0.056999996,0.5,95615,54,95588,5943074,62.16
Belarus,1960,female,17,period,0.59000003,0.059,0.5,95561,56,95533,5847486,61.19
Belarus,1960,female,18,period,0.77,0.077,0.5,95505,73,95468,5751952,60.23
Belarus,1960,female,19,period,0.69,0.069,0.5,95432,66,95399,5656484,59.27
Belarus,1960,female,2,period,1.54,0.154,0.5,96563,149,96488,7287216,75.47
Belarus,1960,female,20,period,1.05,0.105,0.5,95366,100,95316,5561085,58.31
Belarus,1960,female,20-24,period,0.89000005,0.44300002,2.43,95366,423,475744,5561085,58.31
Belarus,1960,female,21,period,0.79,0.079,0.5,95265,76,95228,5465769,57.37
Belarus,1960,female,22,period,0.9,0.089999996,0.5,95190,86,95147,5370542,56.42
Belarus,1960,female,23,period,0.77,0.077,0.5,95104,73,95067,5275395,55.47
Belarus,1960,female,24,period,0.92,0.092,0.5,95031,87,94987,5180328,54.51
Belarus,1960,female,25,period,1.0799999,0.107999995,0.5,94943,102,94892,5085341,53.56
Belarus,1960,female,25-29,period,0.98999995,0.49299997,2.45,94943,468,473524,5085341,53.56
Belarus,1960,female,26,period,1.0,0.1,0.5,94841,95,94794,4990449,52.62
Belarus,1960,female,27,period,0.79,0.079,0.5,94746,75,94709,4895655,51.67
Belarus,1960,female,28,period,1.21,0.121,0.5,94672,115,94614,4800946,50.71
Belarus,1960,female,29,period,0.85999995,0.085999995,0.5,94557,82,94516,4706332,49.77
Belarus,1960,female,3,period,0.98,0.098000005,0.5,96414,94,96367,7190728,74.58
Belarus,1960,female,30,period,1.49,0.149,0.5,94475,141,94405,4611816,48.82
Belarus,1960,female,30-34,period,1.25,0.624,2.5,94475,589,470902,4611816,48.82
Belarus,1960,female,31,period,0.94,0.094,0.5,94335,89,94290,4517412,47.89
Belarus,1960,female,32,period,1.3,0.13,0.5,94246,122,94185,4423122,46.93
Belarus,1960,female,33,period,1.13,0.112,0.5,94123,106,94070,4328937,45.99
Belarus,1960,female,34,period,1.4,0.14,0.5,94017,132,93952,4234867,45.04
Belarus,1960,female,35,period,1.86,0.185,0.5,93886,174,93799,4140915,44.11
Belarus,1960,female,35-39,period,1.7800001,0.88600004,2.46,93886,832,467313,4140915,44.11
