id,title,url,license,accessed,sha256,notes
clip_dmsp_2011,Вырезка Беларуси calDMSP 2011,data/raw/nightlights/rasters/dmsp_2011.tif,CC BY 4.0,2026-07-14,0c12200618f48bed3db4581b2e19eeaad58b91dabafef11aa1916116385a40e7,"1170x606, маска adm1 all_touched, вне страны 0; max DN 63"
li_caldmsp_2012,Li et al. calDMSP 2012 (глобальный),https://ndownloader.figshare.com/files/17626031,"CC BY 4.0 (Li et al., figshare 9828827 v10)",2026-07-14,c8cc3244a3ab26bd17e987c8c1e3501430f5542b201b9b12e4911be4ee2fa1f4,"DMSP-OLS stable lights, интеркалиброван, DN 0-63, ~1 км; глобальный файл не вендорится"
clip_dmsp_2012,Вырезка Беларуси calDMSP 2012,data/raw/nightlights/rasters/dmsp_2012.tif,CC BY 4.0,2026-07-14,a627960ce67228fb93e6bc24d4e58ae2dc7c470a443985a3512f2688a411570f,"1170x606, маска adm1 all_touched, вне страны 0; max DN 63"
li_caldmsp_2013,Li et al. calDMSP 2013 (глобальный),https://ndownloader.figshare.com/files/17626034,"CC BY 4.0 (Li et al., figshare 9828827 v10)",2026-07-14,81e33f3a191c4c50b87be8414463b60405e159b9f2409266a17a332996a3bf6d,"DMSP-OLS stable lights, интеркалиброван, DN 0-63, ~1 км; глобальный файл не вендорится"
clip_dmsp_2013,Вырезка Беларуси calDMSP 2013,data/raw/nightlights/rasters/dmsp_2013.tif,CC BY 4.0,2026-07-14,4ad1f017ee9e1cd8da93f97af7ee9744636a620ee234f8ac7123ce528b5eae2c,"1170x606, маска adm1 all_touched, вне страны 0; max DN 63"
vnl_avg_2012,"EOG VNL v2.1 average 2012 (зеркало, глобальный)",https://zenodo.org/api/records/17294744/files/nightlights.average_viirs.v21_m_500m_s_20120101_20121231_go_epsg4326_v20250904.tif/content,"CC BY 4.0 (OpenGeoHub, Zenodo 17294744; данные EOG VNL)",2026-07-14,cd19ce2dd6638d0620bf3a12bb1e5802111810a4348d6fbe3a45613c1abaacd2,"подлинный годовой композит EOG, 500 м EPSG:4326, значения радианс x10 (int16); глобальный файл не вендорится"
clip_vnl_2012,Вырезка Беларуси VNL 2012,data/raw/nightlights/rasters/vnl_2012.tif,CC BY 4.0,2026-07-14,4c3ea04a79cf13876ac0c07ce131278f34fa1f2913d9dbef7905a493d7f68f74,"2340x1212, нВт/см²/ср (значения зеркала x0,1) окр. 0,1, маска adm1 all_touched; max 705.0"
vnl_avg_2013,"EOG VNL v2.1 average 2013 (зеркало, глобальный)",https://zenodo.org/api/records/17294744/files/nightlights.average_viirs.v21_m_500m_s_20130101_20131231_go_epsg4326_v20250904.tif/content,"CC BY 4.0 (OpenGeoHub, Zenodo 17294744; данные EOG VNL)",2026-07-14,9f9e1dc7d80e7b50cfcbfbdde6e45938e9070a8d234e27d331cd8e027f1d1289,"подлинный годовой композит EOG, 500 м EPSG:4326, значения радианс x10 (int16); глобальный файл не вендорится"
clip_vnl_2013,Вырезка Беларуси VNL 2013,data/raw/nightlights/rasters/vnl_2013.tif,CC BY 4.0,2026-07-14,93b1a4cd2998f07a82f6788cdbe129446b283abfdaa9b4e579548f4ebe5bf05f,"2340x1212, нВт/см²/ср (значения зеркала x0,1) окр. 0,1, маска adm1 all_touched; max 1099.0"
vnl_avg_2014,"EOG VNL v2.1 average 2014 (зеркало, глобальный)",https://zenodo.org/api/records/17294744/files/nightlights.average_viirs.v21_m_500m_s_20140101_20141231_go_epsg4326_v20250904.tif/content,"CC BY 4.0 (OpenGeoHub, Zenodo 17294744; данные EOG VNL)",2026-07-14,12e24b91f3fef11117ac6bfb66142b1088541884602921128d3ddd44e3e40cbd,"подлинный годовой композит EOG, 500 м EPSG:4326, значения радианс x10 (int16); глобальный файл не вендорится"
clip_vnl_2014,Вырезка Беларуси VNL 2014,data/raw/nightlights/rasters/vnl_2014.tif,CC BY 4.0,2026-07-14,289797d19722fa93d94379d8f495b99cb5c278c6095da55b14b9b4ea0534b0f2,"2340x1212, нВт/см²/ср (значения зеркала x0,1) окр. 0,1, маска adm1 all_touched; max 1298.0"
vnl_avg_2015,"EOG VNL v2.1 average 2015 (зеркало, глобальный)",https://zenodo.org/api/records/17294744/files/nightlights.average_viirs.v21_m_500m_s_20150101_20151231_go_epsg4326_v20250904.tif/content,"CC BY 4.0 (OpenGeoHub, Zenodo 17294744; данные EOG VNL)",2026-07-14,a673f35bd6240c6dc69e05550cdfcd46080a23364a12b91fe897312a308f712f,"подлинный годовой композит EOG, 500 м EPSG:4326, значения радианс x10 (int16); глобальный файл не вендорится"
clip_vnl_2015,Вырезка Беларуси VNL 2015,data/raw/nightlights/rasters/vnl_2015.tif,CC BY 4.0,2026-07-14,14b5fc76549544278d174ce37f9d0c29c990bec544e5a5e2fc89ddc88034ff1e,"2340x1212, нВт/см²/ср (значения зеркала x0,1) окр. 0,1, маска adm1 all_touched; max 839.0"
vnl_avg_2016,"EOG VNL v2.1 average 2016 (зеркало, глобальный)",https://zenodo.org/api/records/17294744/files/nightlights.average_viirs.v21_m_500m_s_20160101_20161231_go_epsg4326_v20250904.tif/content,"CC BY 4.0 (OpenGeoHub, Zenodo 17294744; данные EOG VNL)",2026-07-14,319ef2d91a2ff4733c61a555a81f05b483c9b47463b1f91f00bbc5385556ca45,"подлинный годовой композит EOG, 500 м EPSG:4326, значения радианс x10 (int16); глобальный файл не вендорится"
clip_vnl_2016,Вырезка Беларуси VNL 2016,data/raw/nightlights/rasters/vnl_2016.tif,CC BY 4.0,2026-07-14,4daadb1078e7b45ec61076ebc998e573c8d833d0d24bb4dab823b7c6c5bcd956,"2340x1212, нВт/см²/ср (значения зеркала x0,1) окр. 0,1, маска adm1 all_touched; max 817.0"
vnl_avg_2017,"EOG VNL v2.1 average 2017 (зеркало, глобальный)",https://zenodo.org/api/records/17294744/files/nightlights.average_viirs.v21_m_500m_s_20170101_20171231_go_epsg4326_v20250904.tif/content,"CC BY 4.0 (OpenGeoHub, Zenodo 17294744; данные EOG VNL)",2026-07-14,6c767ca0d2c5b2c45c87fea60039bd232ed6a0114229ab31d9c2fa2238114c46,"подлинный годовой композит EOG, 500 м EPSG:4326, значения радианс x10 (int16); глобальный файл не вендорится"
clip_vnl_2017,Вырезка Беларуси VNL 2017,data/raw/nightlights/rasters/vnl_2017.tif,CC BY 4.0,2026-07-14,ee09ea50508767a86c8eb2d97a48020c9c408eff0a12678c2b31f92baf3c551c,"2340x1212, нВт/см²/ср (значения зеркала x0,1) окр. 0,1, маска adm1 all_touched; max 771.0"
