zone_id,year,dn_sum,lit_km2
r-ushacki,2015,114.0,9.337
r-chashnicki,2015,1468.0,73.089
r-sharkoushchynski,2015,326.0,19.563
r-shumilinski,2015,817.0,48.005
r-akciabrski,2015,574.0,36.038
r-brahinski,2015,104.0,8.046
r-buda-kashalouski,2015,1477.0,94.481
r-vietkauski,2015,412.0,31.357
r-homielski,2015,24327.0,637.618
r-dobrushski,2015,991.0,62.573
r-jelski,2015,804.0,45.772
r-zhlobinski,2015,8855.0,180.778
r-zhytkavicki,2015,506.0,38.537
r-kalinkavicki,2015,1489.0,60.126
r-karmianski,2015,601.0,37.67
r-lelchycki,2015,416.0,28.793
r-lojeuski,2015,275.0,21.718
r-mazyrski,2015,9304.0,267.764
r-naraulanski,2015,578.0,37.771
r-pietrykauski,2015,507.0,39.61
r-rahachouski,2015,895.0,43.936
r-rechycki,2015,5713.0,184.653
r-svietlahorski,2015,3359.0,108.689
r-chojnicki,2015,442.0,27.081
r-chacherski,2015,343.0,24.884
r-astraviecki,2015,4164.0,133.312
r-ashmianski,2015,878.0,46.031
r-bierastavicki,2015,311.0,20.634
r-vaukavyski,2015,2365.0,108.252
r-voranauski,2015,312.0,23.667
r-hrodzienski,2015,18237.0,500.303
r-dziatlauski,2015,546.0,28.689
r-zelvienski,2015,202.0,15.482
r-iujeuski,2015,594.0,33.922
r-karelicki,2015,244.0,18.933
r-lidski,2015,4225.0,146.627
r-mastouski,2015,717.0,34.374
r-navahrudski,2015,997.0,42.898
r-svislacki,2015,311.0,23.808
r-slonimski,2015,3819.0,144.755
r-smarhonski,2015,1685.0,82.982
r-shchuchynski,2015,1025.0,68.384
r-barysauski,2015,14305.0,439.803
r-biarezinski,2015,865.0,54.855
r-valozhynski,2015,1525.0,103.152
r-vilejski,2015,2040.0,118.944
r-dziarzhynski,2015,8632.0,291.458
r-kapylski,2015,996.0,65.588
r-klecki,2015,357.0,27.423
r-krupski,2015,1781.0,118.366
r-lahojski,2015,4341.0,246.603
r-lubanski,2015,880.0,51.989
r-maladziechanski,2015,6285.0,228.695
