scenario,city_id,epoch,fixed_cells,core_cells,built_fixed_m2,built_core_m2,built_edge_m2,built_buffer_m2
t05_c0,c-baranavichy,1980,9182,2871,8561776.0,7504322.0,715818.0,341636.0
t05_c0,c-barysau,1980,7192,2320,6679230.0,5944988.0,268302.0,465940.0
t05_c0,c-bialynichy,1980,2045,299,728672.0,499628.0,145283.0,83761.0
t05_c0,c-biaroza,1980,2970,335,1308924.0,678728.0,364559.0,265637.0
t05_c0,c-biarozauka,1980,1618,300,668963.0,586914.0,23197.0,58852.0
t05_c0,c-bielaaziorsk,1980,2902,335,969092.0,527733.0,181130.0,260229.0
t05_c0,c-bierazino,1980,2929,384,1001407.0,663900.0,284411.0,53096.0
t05_c0,c-braslau,1980,2312,198,680612.0,359261.0,195960.0,125391.0
t05_c0,c-brest,1980,12137,3176,9610379.0,7890101.0,1299928.0,420350.0
t05_c0,c-bychau,1980,3131,530,1339420.0,962520.0,271539.0,105361.0
t05_c0,c-chashniki,1980,1955,241,603957.0,391724.0,70651.0,141582.0
t05_c0,c-chavusy,1980,1641,254,545372.0,408662.0,37531.0,99179.0
t05_c0,c-chervien,1980,2697,285,634299.0,379509.0,178118.0,76672.0
t05_c0,c-chojniki,1980,3456,281,1105778.0,459005.0,501232.0,145541.0
t05_c0,c-dobrush,1980,3615,354,1643712.0,664511.0,844830.0,134371.0
t05_c0,c-drahichyn,1980,2922,416,984215.0,700941.0,173715.0,109559.0
t05_c0,c-dziarzhynsk,1980,3327,402,983811.0,708380.0,210574.0,64857.0
t05_c0,c-fanipal,1980,2293,113,756149.0,315505.0,244782.0,195862.0
t05_c0,c-hancavichy,1980,2565,257,985216.0,518686.0,387693.0,78837.0
t05_c0,c-haradok,1980,1223,140,494304.0,224406.0,17263.0,252635.0
t05_c0,c-hlybokaje,1980,3473,722,1643037.0,1481224.0,110769.0,51044.0
t05_c0,c-homiel,1980,14159,5163,15272795.0,13459097.0,1411152.0,402546.0
t05_c0,c-horki,1980,3955,367,1569043.0,744275.0,739078.0,85690.0
t05_c0,c-hrodna,1980,15417,1592,10760004.0,4119449.0,6022216.0,618339.0
t05_c0,c-ivacevichy,1980,3541,530,1511067.0,1123349.0,278061.0,109657.0
t05_c0,c-ivanava,1980,3921,493,1215908.0,887004.0,296365.0,32539.0
t05_c0,c-jelsk,1980,2431,111,596569.0,156093.0,362717.0,77759.0
t05_c0,c-kalinkavichy,1980,3961,906,2350382.0,2029537.0,269111.0,51734.0
t05_c0,c-kapyl,1980,2137,151,579585.0,245694.0,295522.0,38369.0
t05_c0,c-kasciukovichy,1980,1674,315,898103.0,547615.0,28875.0,321613.0
t05_c0,c-kleck,1980,2342,271,1031535.0,678071.0,312410.0,41054.0
t05_c0,c-klimavichy,1980,3636,257,1569370.0,414935.0,939203.0,215232.0
t05_c0,c-kobryn,1980,5950,538,3411536.0,1241488.0,1817652.0,352396.0
t05_c0,c-krychau,1980,5068,633,2713720.0,1498909.0,1054928.0,159883.0
t05_c0,c-lachavichy,1980,1628,212,575887.0,383197.0,52261.0,140429.0
t05_c0,c-lahojsk,1980,2259,136,598180.0,170581.0,282432.0,145167.0
t05_c0,c-lelchycy,1980,2315,315,722227.0,529050.0,140649.0,52528.0
t05_c0,c-lepiel,1980,3524,540,1442350.0,1107437.0,249665.0,85248.0
t05_c0,c-lida,1980,5510,1345,3697705.0,3042472.0,307071.0,348162.0
t05_c0,c-luban,1980,2132,300,700978.0,467532.0,118061.0,115385.0
t05_c0,c-luniniec,1980,3509,551,1324674.0,1049017.0,183321.0,92336.0
t05_c0,c-machulishchy,1980,1581,19,350254.0,24297.0,251091.0,74866.0
t05_c0,c-mahilou,1980,11592,2667,8220817.0,6691758.0,1070392.0,458667.0
t05_c0,c-maladziechna,1980,7426,1872,5294349.0,4659230.0,490532.0,144587.0
t05_c0,c-malaryta,1980,2012,309,689442.0,541551.0,79026.0,68865.0
t05_c0,c-marjina-horka,1980,3793,261,1194211.0,491410.0,508499.0,194302.0
t05_c0,c-masty,1980,1219,103,508783.0,160310.0,24058.0,324415.0
t05_c0,c-mazyr,1980,6964,443,3052200.0,886377.0,1942152.0,223671.0
t05_c0,c-mikashevichy,1980,2286,244,539693.0,366639.0,134232.0,38822.0
t05_c0,c-minsk,1980,47724,10821,39333461.0,28203344.0,10071844.0,1058273.0
t05_c0,c-mscislau,1980,2661,401,934196.0,689030.0,163972.0,81194.0
t05_c0,c-naroula,1980,1451,190,423274.0,303757.0,37300.0,82217.0
t05_c0,c-navahrudak,1980,3401,679,1585820.0,1352879.0,163723.0,69218.0
t05_c0,c-navapolack,1980,3406,357,1175538.0,648772.0,264005.0,262761.0
t05_c0,c-niasvizh,1980,2430,239,838072.0,380510.0,287088.0,170474.0
t05_c0,c-novalukoml,1980,2562,107,676422.0,241928.0,341859.0,92635.0
t05_c0,c-orsha,1980,8226,1908,5765263.0,4496303.0,1078879.0,190081.0
t05_c0,c-pastavy,1980,3195,625,1475866.0,1164030.0,208380.0,103456.0
t05_c0,c-pietrykau,1980,2205,330,779429.0,643458.0,111785.0,24186.0
t05_c0,c-pinsk,1980,9557,1963,6241703.0,4987062.0,1045038.0,209603.0
t05_c0,c-polack,1980,6754,909,4220790.0,1833588.0,1695728.0,691474.0
t05_c0,c-pruzhany,1980,3596,494,1338135.0,1045817.0,191249.0,101069.0
t05_c0,c-rahachou,1980,2709,687,1632943.0,1571615.0,43702.0,17626.0
t05_c0,c-rechyca,1980,7307,1883,5145335.0,4548576.0,443394.0,153365.0
t05_c0,c-salihorsk,1980,4060,451,1852860.0,1069220.0,308041.0,475599.0
t05_c0,c-shchuchyn,1980,1693,206,677267.0,361535.0,87832.0,227900.0
t05_c0,c-shklou,1980,3352,502,1374410.0,1005045.0,145827.0,223538.0
t05_c0,c-skidziel,1980,1951,166,444128.0,268157.0,88319.0,87652.0
t05_c0,c-slonim,1980,5336,521,2221774.0,1000681.0,977045.0,244048.0
t05_c0,c-sluck,1980,5649,102,3032572.0,248252.0,2538101.0,246219.0
t05_c0,c-smalavichy,1980,2799,457,972273.0,772833.0,80333.0,119107.0
t05_c0,c-smarhon,1980,3497,554,1336199.0,978377.0,262064.0,95758.0
t05_c0,c-staryja-darohi,1980,1927,247,667790.0,513534.0,80047.0,74209.0
t05_c0,c-stolin,1980,3229,413,1136578.0,746023.0,212497.0,178058.0
t05_c0,c-stoubcy,1980,2837,372,1198068.0,696021.0,367303.0,134744.0
t05_c0,c-svietlahorsk,1980,6017,428,3187592.0,828310.0,2208881.0,150401.0
t05_c0,c-talachyn,1980,2270,225,644243.0,332647.0,211564.0,100032.0
t05_c0,c-uzda,1980,1944,129,381185.0,165381.0,98872.0,116932.0
t05_c0,c-valozhyn,1980,2488,285,629085.0,427366.0,117965.0,83754.0
t05_c0,c-vasilevichy,1980,1827,245,452741.0,326101.0,56582.0,70058.0
t05_c0,c-vaukavysk,1980,4879,855,2378757.0,1703131.0,426964.0,248662.0
t05_c0,c-viciebsk,1980,6214,1327,5850578.0,3436670.0,884307.0,1529601.0
